강의실,요일,시간,합계
국제교육관,월,1,0.0
국제교육관,월,2,35.0
국제교육관,월,3,0.0
국제교육관,월,4,50.0
국제교육관,월,5,0.0
국제교육관,월,6,55.0
국제교육관,월,7,0.0
국제교육관,월,8,40.0
국제교육관,월,9,0.0
국제교육관,월,10,0.0
국제교육관,월,11,0.0
국제교육관,월,12,0.0
국제교육관,월,13,0.0
국제교육관,월,14,0.0
국제교육관,월,15,0.0
국제교육관,화,1,14.0
국제교육관,화,2,90.0
국제교육관,화,3,14.0
국제교육관,화,4,90.0
국제교육관,화,5,0.0
국제교육관,화,6,128.0
국제교육관,화,7,0.0
국제교육관,화,8,128.0
국제교육관,화,9,6.0
국제교육관,화,10,0.0
국제교육관,화,11,0.0
국제교육관,화,12,0.0
국제교육관,화,13,0.0
국제교육관,화,14,0.0
국제교육관,화,15,0.0
국제교육관,수,1,115.0
국제교육관,수,2,0.0
국제교육관,수,3,115.0
국제교육관,수,4,0.0
국제교육관,수,5,0.0
국제교육관,수,6,113.0
국제교육관,수,7,14.0
국제교육관,수,8,99.0
국제교육관,수,9,0.0
국제교육관,수,10,0.0
국제교육관,수,11,0.0
국제교육관,수,12,0.0
국제교육관,수,13,0.0
국제교육관,수,14,0.0
국제교육관,수,15,0.0
국제교육관,목,1,85.0
국제교육관,목,2,29.0
국제교육관,목,3,114.0
국제교육관,목,4,0.0
국제교육관,목,5,32.0
국제교육관,목,6,70.0
국제교육관,목,7,0.0
국제교육관,목,8,38.0
국제교육관,목,9,0.0
국제교육관,목,10,0.0
국제교육관,목,11,0.0
국제교육관,목,12,0.0
국제교육관,목,13,0.0
국제교육관,목,14,0.0
국제교육관,목,15,0.0
국제교육관,금,1,0.0
국제교육관,금,2,30.0
국제교육관,금,3,0.0
국제교육관,금,4,30.0
국제교육관,금,5,0.0
국제교육관,금,6,0.0
국제교육관,금,7,0.0
국제교육관,금,8,0.0
국제교육관,금,9,0.0
국제교육관,금,10,0.0
국제교육관,금,11,0.0
국제교육관,금,12,0.0
국제교육관,금,13,0.0
국제교육관,금,14,0.0
국제교육관,금,15,0.0
국제교육관,토,1,0.0
국제교육관,토,2,0.0
국제교육관,토,3,0.0
국제교육관,토,4,0.0
국제교육관,토,5,0.0
국제교육관,토,6,0.0
국제교육관,토,7,0.0
국제교육관,토,8,0.0
국제교육관,토,9,0.0
국제교육관,토,10,0.0
국제교육관,토,11,0.0
국제교육관,토,12,0.0
국제교육관,토,13,0.0
국제교육관,토,14,0.0
국제교육관,토,15,0.0
국제교육관,일,1,0.0
국제교육관,일,2,0.0
국제교육관,일,3,0.0
국제교육관,일,4,0.0
국제교육관,일,5,0.0
국제교육관,일,6,0.0
국제교육관,일,7,0.0
국제교육관,일,8,0.0
국제교육관,일,9,0.0
국제교육관,일,10,0.0
국제교육관,일,11,0.0
국제교육관,일,12,0.0
국제교육관,일,13,0.0
국제교육관,일,14,0.0
국제교육관,일,15,0.0
다니엘관,월,1,250.0
다니엘관,월,2,447.0
다니엘관,월,3,230.0
다니엘관,월,4,374.0
다니엘관,월,5,497.0
다니엘관,월,6,566.0
다니엘관,월,7,464.0
다니엘관,월,8,340.0
다니엘관,월,9,154.0
다니엘관,월,10,9.0
다니엘관,월,11,9.0
