강좌번호,장바구니 인원,수강정원
2,33,50
3,8,75
4,13,35
5,63,35
6,19,40
7,39,30
8,40,60
10,64,50
11,24,24
12,77,90
13,36,50
14,4,40
15,34,30
16,3,20
17,2,20
18,30,20
19,7,35
20,56,30
21,37,23
22,7,30
23,35,40
24,12,25
25,35,50
26,4,20
27,39,45
28,87,90
29,7,100
30,7,15
32,19,10
33,5,30
34,7,40
35,7,60
36,14,10
37,61,50
38,25,40
39,3,30
40,1,30
41,21,32
42,0,90
46,29,30
47,0,9
48,0,9
49,0,9
50,0,9
51,0,9
52,0,9
53,0,9
54,0,30
55,0,30
57,35,30
58,78,60
59,0,35
60,1,50
61,32,35
62,49,40
63,57,50
64,59,60
66,59,55
67,29,45
68,43,35
70,27,40
71,14,30
72,39,50
75,38,50
76,75,60
77,30,40
78,35,30
79,5,40
81,22,15
82,42,50
83,60,60
84,0,30
85,13,35
86,0,50
87,0,40
88,0,40
89,0,40
90,0,40
91,0,40
92,0,40
94,10,40
95,10,40
96,16,40
98,16,40
99,21,40
100,21,40
101,0,40
102,0,40
103,10,40
104,16,40
105,21,40
106,16,40
107,11,40
108,21,40
109,13,40
110,16,40
112,0,40
113,10,40
115,10,40
116,10,40
118,16,40
119,16,40
122,0,40
123,24,40
124,0,40
125,24,40
126,0,40
127,0,40
128,22,40
129,0,40
130,0,40
131,16,40
132,9,50
133,35,60
134,7,10
135,20,70
136,0,0
137,5,60
139,36,60
140,26,20
141,9,60
142,33,60
143,0,2
144,27,60
145,0,2
146,15,50
147,0,60
148,15,24
149,0,2
150,0,2
151,29,24
152,0,60
155,40,60
156,19,60
157,0,60
158,53,60
161,0,10
162,0,10
164,0,10
165,40,60
166,21,50
167,38,60
168,36,40
169,40,60
171,0,100
172,67,120
173,1,100
174,0,100
175,0,0
176,63,120
177,27,55
178,0,55
179,29,50
180,27,50
181,5,40
182,34,50
183,28,50
184,31,50
185,28,55
186,0,60
188,32,50
189,27,55
192,2,50
193,0,50
194,28,30
195,0,55
196,33,50
197,31,30
200,32,50
201,29,55
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
210,0,6
211,0,6
212,26,55
213,26,55
214,28,50
215,0,55
216,25,55
218,89,100
220,88,100
223,0,99
224,0,99
225,15,30
226,4,30
228,0,30
229,2,30
230,6,30
231,1,35
232,0,35
233,7,20
234,25,35
235,16,35
236,5,99
237,4,99
238,0,10
239,3,20
240,6,99
241,4,99
242,1,50
244,1,50
245,32,45
246,8,99
247,6,99
248,1,99
249,4,99
250,7,99
251,6,99
252,12,99
254,7,30
255,8,99
256,1,99
257,9,30
258,15,35
259,7,30
260,6,30
261,8,99
262,8,99
263,4,99
264,0,99
265,0,99
266,1,99
267,25,99
268,0,30
269,0,30
270,3,30
271,1,99
272,10,30
274,5,99
275,18,99
276,6,99
277,0,10
278,1,15
279,1,45
281,3,30
282,18,99
283,8,35
284,7,20
285,5,30
286,5,30
287,5,20
288,3,20
289,0,99
290,2,30
291,2,30
292,12,99
293,13,35
294,1,35
295,0,35
296,1,99
297,1,20
298,4,30
299,4,20
300,9,30
301,2,30
302,2,20
303,1,99
304,0,99
305,7,20
306,2,20
307,6,99
308,5,99
309,8,99
311,11,14
312,12,15
313,10,15
314,13,14
315,12,15
316,16,15
317,35,45
318,35,45
319,40,45
320,40,40
321,30,40
322,76,90
324,40,90
325,10,14
326,13,15
327,9,15
328,13,14
329,11,15
330,16,15
331,0,30
332,0,30
333,39,40
334,29,40
335,40,90
336,20,29
337,24,29
338,27,30
339,23,29
340,22,29
341,27,30
342,40,90
343,0,8
344,0,8
347,0,8
348,0,8
349,0,8
350,0,8
351,0,8
352,0,8
353,0,8
354,0,8
355,16,25
356,12,25
357,11,24
358,0,80
359,10,40
360,41,90
361,21,29
362,22,29
363,27,30
364,70,90
367,8,16
368,18,16
369,24,16
370,21,16
371,6,16
372,0,80
373,3,45
374,0,45
375,68,80
376,17,25
377,12,25
378,11,24
379,41,90
380,22,29
381,23,29
382,27,30
383,73,90
384,17,25
385,12,25
386,11,24
387,17,35
388,22,35
389,27,40
390,1,80
391,2,90
392,2,90
393,58,45
394,29,45
395,0,50
396,9,50
397,26,50
398,16,50
399,8,50
400,12,50
401,25,50
402,9,50
403,16,50
404,21,50
405,5,50
406,18,25
407,6,25
408,20,25
410,41,50
411,16,50
412,9,20
413,6,30
415,19,50
416,0,50
417,0,25
418,0,9
419,0,9
420,0,9
421,0,9
422,0,9
423,1,30
424,0,30
425,2,25
427,22,30
428,31,50
429,6,50
430,21,50
431,23,30
432,0,50
433,0,30
434,0,50
435,0,50
437,0,50
438,7,50
439,3,50
440,8,25
441,20,40
444,0,40
445,25,30
446,0,40
447,24,40
448,5,40
449,16,40
452,21,40
453,0,8
454,0,8
455,0,8
456,0,8
457,20,40
458,16,30
459,21,40
460,11,40
461,22,40
462,10,40
463,30,40
465,0,40
466,19,40
467,16,40
468,12,40
469,35,40
470,20,40
471,26,40
472,3,40
473,22,40
474,0,40
475,8,31
477,0,55
478,0,0
479,17,40
480,0,40
481,0,0
482,26,40
483,4,45
484,26,40
485,1,40
486,26,43
487,0,41
489,36,40
490,1,45
491,24,40
493,0,0
494,27,45
495,0,0
496,28,41
497,0,0
498,0,45
499,12,45
500,1,45
501,0,14
502,0,14
504,0,14
506,29,40
507,9,40
508,25,45
509,3,40
510,10,40
511,2,20
512,25,40
513,24,40
514,28,48
515,6,40
516,2,8
517,1,8
518,0,8
519,0,8
520,7,30
521,16,40
522,4,30
523,1,20
524,0,9
525,0,9
526,0,9
527,3,40
528,12,40
529,10,40
530,0,30
531,27,40
534,0,99
535,0,40
536,14,30
537,20,40
538,0,40
539,16,40
541,0,30
