강의명,강좌번호,시간,전공
4차산업과 인공지능,1096,목2~4,공통(교양)
간호학개론,373,화4~5,간호학과
간호학개론,374,화6~7,간호학과
감성 디자인을 위한 AI와 일러스트,966,수1~3,공통(교양)
건강과운동,878,화1~3,공통(교양)
건강원리와 실제,1017,금1~3,공통(교양)
건강원리와 실제,1643,금1~3,공통(교양)
건축학개론,1238,화1~3,건축학과(4년)
건축학개론,1189,화1~3,건축학과(5년)
결혼과 가족관계,1100,수5~7,공통(교양)
경영실무연습,1441,금2~4,경영학과
경영통계학,1873,"월5,화4~5",경영학과
경영학원론,173,화1~3,경영학과
경영학원론,1451,"화6~7,수10",경영학과
"경전의 지혜(구,중국고전과 성서)",1030,목5~7,공통(교양)
"경전의 지혜(구,중국고전과 성서)",1644,수5~7,공통(교양)
경제학원론,1857,금2~4,미래융합자유전공학부
경제학원론,176,"월4,화4~5",경영학과
경제학원론,1531,"화10,화7~8",경영학과
경제학원론,1839,금2~4,경영학과
고전음악과 인간의 삶,840,목8~10,공통(교양)
"과거, 현재, 미래의 법률 논쟁",1091,금2~4,공통(교양)
교양인 화법과 태도,823,화5~7,공통(교양)
"교육고전과 인성(구, 교육고전의이해)",810,목1~3,공통(교양)
교육과정 및 교육평가,834,화6~7,공통(교양)
교육방법 및 교육공학,825,수1~2,공통(교양)
교육봉사활동,898,목8~9,공통(교양)
교육철학 및 교육사,841,화8~9,공통(교양)
교직소양교육 Ⅰ,571,월2,유아교육과
교직실무,1013,월8~9,공통(교양)
교회음악과 현악교수법 I,907,월4~6,공통(교양)
교회음악과 현악교수법 II,844,월7~9,공통(교양)
국제경영학,172,월1~3,경영학과
국제사이버법의 이해,891,수6~8,공통(교양)
국제사회복지론,530,월6~8,사회복지학과
글로벌 문화와 비즈니스 매너,1032,목6~8,공통(교양)
글로벌 문화콘텐츠 창업 성공전략,1050,월4~6,공통(교양)
글로벌매너와 이미지메이킹,1606,화6~8,항공관광외국어학부
글로컬 영어 I,358,수1~3,간호학과
글로컬 영어 I,1303,?,건축학과(4년)
글로컬 영어 I,1229,월1~3,건축학과(5년)
글로컬 영어 I,802,목1~3,데이터클라우드공학과
글로컬 영어 I,714,목1~3,동물자원과학과
글로컬 영어 I,195,화1~3,물리치료학과
글로컬 영어 I,1573,"수6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1574,"수6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1575,"월6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1576,"월6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1577,"목6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1578,"목6~9,금10~11",미래융합자유전공학부
글로컬 영어 I,1579,"수1~4,금10~11",미래융합자유전공학부
글로컬 영어 I,1580,"수1~4,금10~11",미래융합자유전공학부
글로컬 영어 I,1535,수1~3,바이오융합공학과
글로컬 영어 I,444,월1~3,보건관리학과
글로컬 영어 I,152,화1~3,식품영양학과
글로컬 영어 I,593,수1~3,인공지능융합학부
글로컬 영어 I,747,월1~3,컴퓨터공학부
글로컬 영어 I,42,화1~3,화학생명과학과
글로컬 영어 I,1482,화1~3,환경디자인원예학과
글로컬 영어 I,477,월1~3,신학과
글로컬 영어 I,126,목5~7,약학과 (6년제)
글로컬 영어 I,1444,목1~3,경영학과
글로컬 영어 I,1023,화10~12,공통(교양)
글로컬 영어 I,1024,월1~3,공통(교양)
글로컬 영어 I,1645,화1~3,공통(교양)
글로컬 영어 I,1646,수1~3,공통(교양)
글로컬 영어 I,1647,목1~3,공통(교양)
글로컬 영어 I,1651,월1~3,공통(교양)
글로컬 영어 I,1652,화1~3,공통(교양)
글로컬 영어 I,1653,수1~3,공통(교양)
글로컬 영어 I,1654,목1~3,공통(교양)
글로컬 영어 I,1655,월1~3,공통(교양)
글로컬 영어 I,1656,화1~3,공통(교양)
글로컬 영어 I,1657,수1~3,공통(교양)
글로컬 영어 I,1658,목1~3,공통(교양)
글로컬 영어 I,1659,월1~3,공통(교양)
글로컬 영어 I,1660,화1~3,공통(교양)
글로컬 영어 I,1661,수1~3,공통(교양)
글로컬 영어 I,1662,목1~3,공통(교양)
글로컬 영어 I,1663,월1~3,공통(교양)
글로컬 영어 I,1664,화1~3,공통(교양)
글로컬 영어 I,1665,수1~3,공통(교양)
글로컬 영어 I,1666,목1~3,공통(교양)
글로컬 영어 I,1667,월1~3,공통(교양)
글로컬 영어 I,1668,화1~3,공통(교양)
글로컬 영어 I,1669,수1~3,공통(교양)
글로컬 영어 I,1670,목1~3,공통(교양)
글로컬 영어 I,1671,월1~3,공통(교양)
글로컬 영어 I,1672,화1~3,공통(교양)
글로컬 영어 I,1673,수1~3,공통(교양)
글로컬 영어 I,1674,목1~3,공통(교양)
글로컬 영어 I,1675,월1~3,공통(교양)
글로컬 영어 I,1676,화1~3,공통(교양)
글로컬 영어 I,1677,수1~3,공통(교양)
글로컬 영어 I,1678,목1~3,공통(교양)
글로컬 영어 I,1679,월1~3,공통(교양)
글로컬 영어 I,1680,화1~3,공통(교양)
글로컬 영어 I,1681,수1~3,공통(교양)
글로컬 영어 I,1682,목1~3,공통(교양)
글로컬 영어 I,1683,월1~3,공통(교양)
글로컬 영어 I,1684,화1~3,공통(교양)
글로컬 영어 I,1685,수1~3,공통(교양)
글로컬 영어 I,1686,목1~3,공통(교양)
글로컬 영어 I,663,월1~3,글로벌한국학과
글로컬 영어 I,534,수1~3,사회복지학과
글로컬 영어 I,60,화1~3,상담심리학과
글로컬 영어 I,1333,목1~3,아트앤디자인학과
글로컬 영어 I,1124,월1~3,영어영문학과
글로컬 영어 I,584,목1~3,유아교육과
글로컬 영어 I,244,수1~3,음악학과
글로컬 영어 I,395,목1~3,체육학과
글로컬 영어 I,1610,월1~3,항공관광외국어학부
글로컬리더십_글로벌 문제해결,1068,금5~7,공통(교양)
글로컬리더십_창의적 문제해결,1081,금5~7,공통(교양)
긍정심리학,829,목7~9,공통(교양)
기업가정신과 4차 산업혁명,1098,목5~7,공통(교양)
"기업가정신과 창업(구,창업 및 벤처경영론)",1429,월2~4,경영학과
"기업가정신과 창업입문(구,기업가정신과 창업)",1109,수5~7,공통(교양)
기초 드로잉,1334,화5~7,아트앤디자인학과
기초 드로잉,1335,월1~3,아트앤디자인학과
기초 드로잉,1336,금1~3,아트앤디자인학과
기초생물학,1000,수7~9,공통(교양)
기후재난과 대비,1041,월2~4,공통(교양)
나노융합과 미래,932,화5~7,공통(교양)
노인보건학,458,화2~4,보건관리학과
노작교육 I,498,수5~6,신학과
노작교육(그린교육),372,수7~8,간호학과
노작교육(그린교육),799,월5~6,데이터클라우드공학과
노작교육(그린교육),709,목5~6,동물자원과학과
노작교육(그린교육),1547,목7~8,바이오융합공학과
노작교육(그린교육),446,목7~8,보건관리학과
노작교육(그린교육),594,화5~6,인공지능융합학부
노작교육(그린교육),755,월5~6,컴퓨터공학부
노작교육(그린교육),35,목5~6,화학생명과학과
노작교육(그린교육),1490,월5~6,환경디자인원예학과
노작교육(그린교육),1771,수4~5,환경디자인원예학과
노작교육(그린교육),130,금5~6,약학과 (6년제)
노작교육(그린교육),1452,월7~8,경영학과
노작교육(그린교육),1123,월7~8,영어영문학과
노작교육(그린교육),583,월7~8,유아교육과
노작교육(그린교육),242,금5~6,음악학과
노작교육(그린교육),1612,목7~8,항공관광외국어학부
녹색도시와 인간생활,1740,월6~8,공통(교양)
논어 다시읽기,1039,목6~8,공통(교양)
농구 (교양),821,월2~3,공통(교양)
"다문화와 사회통합(구, 다문화의 이해)",1016,수6~8,공통(교양)
대인관계 심리학,869,화7~9,공통(교양)
대학 한국어 쓰기,830,수4~6,공통(교양)
대학 한국어 읽기,813,수1~3,공통(교양)
대학수학,1856,금1~3,미래융합자유전공학부
대학수학,102,월6~8,약학과 (6년제)
대학수학,975,화4~6,공통(교양)
"대학한국어I(구, 외국학생용 한국어교육 I)",1781,월2~4,인공지능융합학부
"대학한국어I(구, 외국학생용 한국어교육 I)",1791,"월9,화6~7",경영학과
"대학한국어I(구, 외국학생용 한국어교육 I)",1811,"월9,화6~7",경영학과
"대학한국어I(구, 외국학생용 한국어교육 I)",943,화4~6,공통(교양)
"대학한국어I(구, 외국학생용 한국어교육 I)",1830,월2~4,글로벌한국학과
"대학한국어I(구, 외국학생용 한국어교육 I)",1831,월6~8,글로벌한국학과
대학한국어Ⅱ,1810,화4~6,경영학과
대학한국어Ⅱ,1812,화4~6,경영학과
데이터 비즈니스 활용,1088,목5~7,공통(교양)
도덕적 딜레마와 정의로운 삶,925,목5~7,공통(교양)
도시과학과 리빙랩 아이디어 설계,1007,월4~6,공통(교양)
동물자원과학개론,699,수2~4,동물자원과학과
동물자원과학개론,1838,수2~4,공통(교양)
디자인 씽킹과 창업,1042,월7~9,공통(교양)
디자인 씽킹과 창의적 문제해결,1344,화5~7,아트앤디자인학과
디자인 씽킹과 창의적 문제해결,1368,화1~3,아트앤디자인학과
디자인학개론,1861,금1~3,미래융합자유전공학부
디지털교육,1738,목1~2,공통(교양)
디지털디자인 I,1338,금1~3,아트앤디자인학과
디지털디자인 I,1339,월1~3,아트앤디자인학과
디지털디자인 I,1340,월5~7,아트앤디자인학과
라이프스타일과 건강관리I,1021,수7~8,공통(교양)
"라틴문화예술의 이해(구, 스페인문화와 언어)",822,월3~5,공통(교양)
마케팅원론,174,화7~9,경영학과
마케팅원론,1442,목6~8,경영학과
마케팅원론,1453,"월9,수6~7",경영학과
매직테니스,988,수5~6,공통(교양)
명인과의 토크 콘서트,920,목2~4,공통(교양)
문학과 종교적 상상력,1031,월5~7,공통(교양)
문학적 상상력의 3D 구현,1048,월5~7,공통(교양)
"문화와 사회, 그리고 인간(문사인(文社人))",1741,목5~7,공통(교양)
물리치료학개론,178,월2~4,물리치료학과
미디어로 보는 일본,1004,목2~4,공통(교양)
미래직업과 신직업 탐색,871,수5~6,공통(교양)
미술의 이해,854,월7~9,공통(교양)
바이러스의 세계와 생명공학,858,수1~3,공통(교양)
바이오산업개론,1548,화2~4,바이오융합공학과
배구,1742,목3~4,공통(교양)
배구I,424,목5~6,체육학과
배드민턴,1705,수3~4,공통(교양)
배드민턴,1706,월5~6,공통(교양)
범죄와 법,876,월6~8,공통(교양)
"범창범주 I(구,범창범주)",278,일14~15,음악학과
베스트셀러로 철학하기,1107,월6~8,공통(교양)
보건교육,390,화2,간호학과
보건학개론,461,수6~8,보건관리학과
보건헬스 기계학습,1386,월1~3,SW보건빅데이터
보건헬스 기계학습,1407,월1~3,SW중독심리
보건헬스 기계학습,1400,월1~3,SW중독재활
북한사회와주민생활,1082,화2~3,공통(교양)
빅데이터 이해와 활용,879,월5~7,공통(교양)
빅데이터분석을 위한 기초통계,1862,금2~4,미래융합자유전공학부
사고와 표현,474,화5~7,신학과
사고와 표현,1635,월6~8,경영학과
사고와 표현,1853,월6~8,경영학과
사고와 표현,1112,월5~7,공통(교양)
사고와 표현,1687,화5~7,공통(교양)
사고와 표현,1688,수5~7,공통(교양)
사고와 표현,1689,목5~7,공통(교양)
사고와 표현,1690,수2~4,공통(교양)
사고와 표현,1691,목2~4,공통(교양)
사고와 표현,1692,수2~4,공통(교양)
사고와 표현,1693,수5~7,공통(교양)
