서비스,상세,난이도,예상시간,담당,현황
DevOps-1,readme에 이름 남기기,하,0,전체,[3/4]
DevOps-2,github action 도입하기,중,1,서승준,완료(5.13)
DevOps-3,호스팅 하기(리눅스 환경),히,2,서승준,
DevOps-4,How to run 개선,하,2,박민우,
DevOps-5,Docker도입,중,2,,
RedTeam-0,취약점 찾기,상,5,박민우,
RedTeam-1,user pw 노출,중,1,서승준,완료(5.6)
RedTeam-2,관리페이지 세션관리,중,2,서승준,
도서관-1,도서관pos db에 반영,하,0,서승준,완료(5.12)
도서관-1-1,도서관pos cleanup,하,1,표훈,
도서관-2,도서관 자리추천 알고리즘,상,3,박민우,완료(5.14)
도서관-3,UI 개선,하,2,,
도서관-4,open cv로 자리 현황 db반영,상,2,서승준,완료(5.12)
랜덤채팅-1,UI 개선,하,2,,
주변장소-1,추천 건물 누끼따기,하,1,,
주변장소-2,추천 건물 지리 파악,하,4,김성현,
주변장소-3,추천 건물 소방 자리표 찍고 흑백처리,하,3,김성현,
주변장소-4,추천 건물 hover시 누끼한 이미지 살짝 상승 애니메이션,하,1,,
주변장소-4-1,좌우 분할 후 좌상단 설명/좌하단 층 조정/우 주변장소-3 결과물 배치,하,3,,
혼잡도-1,시간별 수강 인원수 파악 및 db구축,상,2,서승준,완료(5.12)
혼잡도-2,교내 유동인구 계산,중,2,표훈,완료(5.13)
혼잡도-3,교내 유동인구 그래프 출력,중,2,,
혼잡도-4,교내 유동인구 기준 확립 및 ui반영,중,2,표훈,
메인페이지-1,UI개선,하,2,박민우,완료(5.12)
로그인-1,UI개선,하,2,,
more?,추가 컨텐츠 기획,,,,
